,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,23133,04,05,10,14,22,25,03
1,23132,03,09,11,15,25,27,01
2,23131,06,07,14,20,26,32,01
3,23130,04,10,17,22,23,32,16
4,23129,08,09,12,17,32,33,04
5,23128,07,16,20,21,27,33,01
6,23127,03,08,19,22,26,32,14
7,23126,10,24,26,28,29,31,16
8,23125,11,14,15,27,30,33,04
9,23124,02,03,17,18,25,30,11
10,23123,10,13,15,22,29,32,15
11,23122,07,08,14,18,20,30,05
12,23121,02,12,16,25,30,31,12
13,23120,03,08,13,24,27,29,08
14,23119,01,02,03,19,21,28,15
15,23118,01,02,11,19,25,29,04
16,23117,02,11,14,17,18,28,08
17,23116,02,08,09,13,24,27,12
18,23115,02,07,16,21,26,27,16
19,23114,07,09,15,16,17,26,09
20,23113,01,02,13,18,25,27,03
21,23112,09,12,13,22,24,31,04
22,23111,05,06,12,17,20,33,09
23,23110,02,06,20,25,29,33,16
24,23109,06,08,10,13,16,28,13
25,23108,01,03,06,08,18,24,09
26,23107,03,07,18,25,29,33,14
27,23106,07,09,10,20,22,24,07
28,23105,01,03,05,26,30,32,16
29,23104,10,19,23,25,30,31,12
30,23103,05,06,13,24,25,29,15
31,23102,01,09,10,13,21,28,10
32,23101,01,05,09,15,18,26,04
33,23100,05,06,12,15,23,25,04
34,23099,09,11,14,19,27,33,05
35,23098,02,10,11,14,21,27,11
36,23097,01,09,14,19,29,30,15
37,23096,08,11,18,26,31,32,15
38,23095,03,08,16,17,22,26,11
39,23094,06,10,12,14,30,31,12
40,23093,10,21,24,25,27,32,07
41,23092,03,12,24,25,32,33,13
42,23091,16,20,22,26,30,32,16
43,23090,01,02,09,26,30,31,07
44,23089,08,13,15,27,28,31,11
45,23088,01,14,18,26,31,33,05
46,23087,02,09,15,17,28,33,01
47,23086,08,09,10,22,26,32,12
48,23085,11,18,23,24,31,33,13
49,23084,09,13,14,17,19,27,03
50,23083,07,10,12,16,17,30,12
51,23082,04,18,19,24,27,30,16
52,23081,01,11,15,16,22,31,15
53,23080,01,02,04,09,25,31,08
54,23079,05,06,09,12,21,22,07
55,23078,06,08,14,19,30,31,08
56,23077,07,09,14,22,26,27,01
57,23076,03,04,15,18,19,22,09
58,23075,13,15,24,28,30,31,01
59,23074,02,08,09,18,19,21,03
60,23073,01,03,15,16,25,32,10
61,23072,02,06,10,24,25,33,09
62,23071,05,12,15,19,24,26,06
63,23070,03,05,25,31,32,33,04
64,23069,12,14,17,20,21,26,02
65,23068,11,12,15,18,29,33,02
66,23067,01,03,12,19,28,32,14
67,23066,02,07,08,10,26,31,06
68,23065,02,14,17,20,26,33,14
69,23064,01,07,11,12,16,18,04
70,23063,04,08,17,20,22,27,13
71,23062,11,19,23,24,26,33,15
72,23061,01,04,06,11,12,22,15
73,23060,09,11,17,19,30,31,11
74,23059,02,06,13,22,27,32,06
75,23058,10,17,22,26,30,33,11
76,23057,02,05,10,17,24,32,03
77,23056,08,14,15,18,23,33,08
78,23055,03,04,20,23,27,32,13
79,23054,05,06,09,10,15,26,12
80,23053,01,07,14,20,27,30,15
81,23052,03,04,05,08,12,17,06
82,23051,22,26,29,30,32,33,14
83,23050,02,07,09,14,22,23,05
84,23049,05,07,14,23,25,27,02
85,23048,02,03,10,24,28,30,08
86,23047,05,07,14,23,31,33,07
87,23046,06,08,17,25,26,28,03
